sample_id,parent_source_id,image_path,nucleus_contour_path,cytoplasm_contour_path,technical_valid,technical_exclusion_reason,width,height,diagnostic_class_if_available,image_mode,dtype,nucleus_points,cytoplasm_points,nucleus_area_gt_pixels,cell_area_gt_pixels,cytoplasm_only_area_gt_pixels,nucleus_perimeter_gt_pixels,nucleus_outside_cell_pixels,nc_ratio_defined,circularity_defined
Dyskeratotic__002_07,Dyskeratotic__002,data\raw\sipakmed\im_Dyskeratotic\CROPPED\002_07.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\002_07_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\002_07_cyt.dat,TRUE,,113,67,Dyskeratotic,RGB,uint8,9,13,715,3382,2667,132,0,TRUE,TRUE
Dyskeratotic__002_08,Dyskeratotic__002,data\raw\sipakmed\im_Dyskeratotic\CROPPED\002_08.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\002_08_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\002_08_cyt.dat,TRUE,,107,94,Dyskeratotic,RGB,uint8,12,18,1837,4865,3028,204,0,TRUE,TRUE
Dyskeratotic__002_09,Dyskeratotic__002,data\raw\sipakmed\im_Dyskeratotic\CROPPED\002_09.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\002_09_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\002_09_cyt.dat,TRUE,,125,127,Dyskeratotic,RGB,uint8,14,19,1541,7670,6129,190,0,TRUE,TRUE
Dyskeratotic__002_10,Dyskeratotic__002,data\raw\sipakmed\im_Dyskeratotic\CROPPED\002_10.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\002_10_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\002_10_cyt.dat,TRUE,,105,95,Dyskeratotic,RGB,uint8,9,13,851,4273,3422,138,0,TRUE,TRUE
Dyskeratotic__003_01,Dyskeratotic__003,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_01.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_01_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_01_cyt.dat,TRUE,,115,96,Dyskeratotic,RGB,uint8,13,18,1761,4938,3177,210,0,TRUE,TRUE
Dyskeratotic__003_02,Dyskeratotic__003,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_02.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_02_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_02_cyt.dat,TRUE,,90,94,Dyskeratotic,RGB,uint8,10,13,546,3899,3353,118,0,TRUE,TRUE
Dyskeratotic__003_03,Dyskeratotic__003,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_03.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_03_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_03_cyt.dat,TRUE,,93,87,Dyskeratotic,RGB,uint8,10,17,672,3582,2910,122,0,TRUE,TRUE
Dyskeratotic__003_04,Dyskeratotic__003,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_04.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_04_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_04_cyt.dat,TRUE,,85,98,Dyskeratotic,RGB,uint8,12,16,889,3864,2975,144,0,TRUE,TRUE
Dyskeratotic__003_05,Dyskeratotic__003,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_05.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_05_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_05_cyt.dat,TRUE,,121,133,Dyskeratotic,RGB,uint8,14,19,2180,8833,6653,220,0,TRUE,TRUE
Dyskeratotic__003_06,Dyskeratotic__003,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_06.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_06_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_06_cyt.dat,TRUE,,118,101,Dyskeratotic,RGB,uint8,10,17,872,5648,4776,138,0,TRUE,TRUE
Dyskeratotic__003_07,Dyskeratotic__003,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_07.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_07_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_07_cyt.dat,TRUE,,110,88,Dyskeratotic,RGB,uint8,12,16,1413,4298,2885,184,0,TRUE,TRUE
Dyskeratotic__003_08,Dyskeratotic__003,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_08.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_08_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_08_cyt.dat,TRUE,,106,99,Dyskeratotic,RGB,uint8,10,15,1345,5067,3722,178,0,TRUE,TRUE
Dyskeratotic__003_09,Dyskeratotic__003,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_09.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_09_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_09_cyt.dat,TRUE,,81,86,Dyskeratotic,RGB,uint8,12,15,629,2726,2097,130,0,TRUE,TRUE
Dyskeratotic__003_10,Dyskeratotic__003,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_10.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_10_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_10_cyt.dat,TRUE,,78,85,Dyskeratotic,RGB,uint8,12,13,906,2683,1777,142,0,TRUE,TRUE
Dyskeratotic__003_11,Dyskeratotic__003,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_11.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_11_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_11_cyt.dat,TRUE,,91,100,Dyskeratotic,RGB,uint8,9,14,964,3951,2987,148,0,TRUE,TRUE
Dyskeratotic__003_12,Dyskeratotic__003,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_12.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_12_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\003_12_cyt.dat,TRUE,,108,70,Dyskeratotic,RGB,uint8,10,12,712,3150,2438,124,0,TRUE,TRUE
Dyskeratotic__004_01,Dyskeratotic__004,data\raw\sipakmed\im_Dyskeratotic\CROPPED\004_01.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\004_01_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\004_01_cyt.dat,TRUE,,117,105,Dyskeratotic,RGB,uint8,10,23,1059,4565,3506,150,0,TRUE,TRUE
Dyskeratotic__004_02,Dyskeratotic__004,data\raw\sipakmed\im_Dyskeratotic\CROPPED\004_02.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\004_02_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\004_02_cyt.dat,TRUE,,121,117,Dyskeratotic,RGB,uint8,13,17,2137,6093,3956,238,0,TRUE,TRUE
Dyskeratotic__004_03,Dyskeratotic__004,data\raw\sipakmed\im_Dyskeratotic\CROPPED\004_03.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\004_03_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\004_03_cyt.dat,TRUE,,84,60,Dyskeratotic,RGB,uint8,13,15,654,2020,1366,120,0,TRUE,TRUE
Dyskeratotic__005_01,Dyskeratotic__005,data\raw\sipakmed\im_Dyskeratotic\CROPPED\005_01.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\005_01_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\005_01_cyt.dat,TRUE,,108,91,Dyskeratotic,RGB,uint8,11,16,631,4815,4184,122,0,TRUE,TRUE
Dyskeratotic__005_02,Dyskeratotic__005,data\raw\sipakmed\im_Dyskeratotic\CROPPED\005_02.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\005_02_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\005_02_cyt.dat,TRUE,,112,140,Dyskeratotic,RGB,uint8,12,23,1019,8434,7415,168,0,TRUE,TRUE
Dyskeratotic__005_03,Dyskeratotic__005,data\raw\sipakmed\im_Dyskeratotic\CROPPED\005_03.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\005_03_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\005_03_cyt.dat,TRUE,,109,97,Dyskeratotic,RGB,uint8,11,17,1002,5432,4430,150,0,TRUE,TRUE
Dyskeratotic__005_04,Dyskeratotic__005,data\raw\sipakmed\im_Dyskeratotic\CROPPED\005_04.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\005_04_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\005_04_cyt.dat,TRUE,,130,106,Dyskeratotic,RGB,uint8,9,19,629,5274,4645,120,0,TRUE,TRUE
Dyskeratotic__005_05,Dyskeratotic__005,data\raw\sipakmed\im_Dyskeratotic\CROPPED\005_05.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\005_05_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\005_05_cyt.dat,TRUE,,84,71,Dyskeratotic,RGB,uint8,10,12,545,2323,1778,108,0,TRUE,TRUE
Dyskeratotic__005_06,Dyskeratotic__005,data\raw\sipakmed\im_Dyskeratotic\CROPPED\005_06.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\005_06_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\005_06_cyt.dat,TRUE,,115,94,Dyskeratotic,RGB,uint8,13,17,1258,4169,2911,178,0,TRUE,TRUE
Dyskeratotic__005_07,Dyskeratotic__005,data\raw\sipakmed\im_Dyskeratotic\CROPPED\005_07.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\005_07_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\005_07_cyt.dat,TRUE,,146,93,Dyskeratotic,RGB,uint8,9,18,1563,6381,4818,184,0,TRUE,TRUE
Dyskeratotic__006_01,Dyskeratotic__006,data\raw\sipakmed\im_Dyskeratotic\CROPPED\006_01.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\006_01_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\006_01_cyt.dat,TRUE,,118,127,Dyskeratotic,RGB,uint8,15,14,1101,8199,7098,168,0,TRUE,TRUE
Dyskeratotic__006_02,Dyskeratotic__006,data\raw\sipakmed\im_Dyskeratotic\CROPPED\006_02.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\006_02_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\006_02_cyt.dat,TRUE,,109,102,Dyskeratotic,RGB,uint8,10,19,738,4548,3810,128,0,TRUE,TRUE
Dyskeratotic__006_03,Dyskeratotic__006,data\raw\sipakmed\im_Dyskeratotic\CROPPED\006_03.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\006_03_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\006_03_cyt.dat,TRUE,,105,101,Dyskeratotic,RGB,uint8,10,16,812,4168,3356,136,0,TRUE,TRUE
Dyskeratotic__006_04,Dyskeratotic__006,data\raw\sipakmed\im_Dyskeratotic\CROPPED\006_04.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\006_04_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\006_04_cyt.dat,TRUE,,120,97,Dyskeratotic,RGB,uint8,9,15,782,5045,4263,132,0,TRUE,TRUE
Dyskeratotic__006_05,Dyskeratotic__006,data\raw\sipakmed\im_Dyskeratotic\CROPPED\006_05.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\006_05_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\006_05_cyt.dat,TRUE,,105,105,Dyskeratotic,RGB,uint8,11,17,753,4238,3485,142,0,TRUE,TRUE
Dyskeratotic__006_06,Dyskeratotic__006,data\raw\sipakmed\im_Dyskeratotic\CROPPED\006_06.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\006_06_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\006_06_cyt.dat,TRUE,,95,96,Dyskeratotic,RGB,uint8,11,14,1016,4020,3004,150,0,TRUE,TRUE
Dyskeratotic__007_01,Dyskeratotic__007,data\raw\sipakmed\im_Dyskeratotic\CROPPED\007_01.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\007_01_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\007_01_cyt.dat,TRUE,,164,93,Dyskeratotic,RGB,uint8,10,24,606,5990,5384,114,0,TRUE,TRUE
Dyskeratotic__007_02,Dyskeratotic__007,data\raw\sipakmed\im_Dyskeratotic\CROPPED\007_02.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\007_02_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\007_02_cyt.dat,TRUE,,130,84,Dyskeratotic,RGB,uint8,10,17,657,4881,4224,120,0,TRUE,TRUE
Dyskeratotic__007_03,Dyskeratotic__007,data\raw\sipakmed\im_Dyskeratotic\CROPPED\007_03.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\007_03_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\007_03_cyt.dat,TRUE,,101,74,Dyskeratotic,RGB,uint8,12,15,930,3399,2469,154,0,TRUE,TRUE
Dyskeratotic__007_04,Dyskeratotic__007,data\raw\sipakmed\im_Dyskeratotic\CROPPED\007_04.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\007_04_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\007_04_cyt.dat,TRUE,,91,87,Dyskeratotic,RGB,uint8,11,17,1007,3809,2802,154,0,TRUE,TRUE
Dyskeratotic__008_01,Dyskeratotic__008,data\raw\sipakmed\im_Dyskeratotic\CROPPED\008_01.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\008_01_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\008_01_cyt.dat,TRUE,,92,83,Dyskeratotic,RGB,uint8,11,13,658,3208,2550,120,0,TRUE,TRUE
Dyskeratotic__008_02,Dyskeratotic__008,data\raw\sipakmed\im_Dyskeratotic\CROPPED\008_02.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\008_02_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\008_02_cyt.dat,TRUE,,101,109,Dyskeratotic,RGB,uint8,9,20,693,4797,4104,126,0,TRUE,TRUE
Dyskeratotic__008_03,Dyskeratotic__008,data\raw\sipakmed\im_Dyskeratotic\CROPPED\008_03.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\008_03_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\008_03_cyt.dat,TRUE,,94,95,Dyskeratotic,RGB,uint8,10,14,921,4011,3090,146,0,TRUE,TRUE
Dyskeratotic__008_04,Dyskeratotic__008,data\raw\sipakmed\im_Dyskeratotic\CROPPED\008_04.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\008_04_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\008_04_cyt.dat,TRUE,,134,84,Dyskeratotic,RGB,uint8,11,22,727,5206,4479,134,0,TRUE,TRUE
Dyskeratotic__008_05,Dyskeratotic__008,data\raw\sipakmed\im_Dyskeratotic\CROPPED\008_05.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\008_05_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\008_05_cyt.dat,TRUE,,75,102,Dyskeratotic,RGB,uint8,15,25,784,3223,2439,134,0,TRUE,TRUE
Dyskeratotic__008_06,Dyskeratotic__008,data\raw\sipakmed\im_Dyskeratotic\CROPPED\008_06.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\008_06_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\008_06_cyt.dat,TRUE,,113,123,Dyskeratotic,RGB,uint8,11,21,740,5027,4287,138,0,TRUE,TRUE
Dyskeratotic__008_07,Dyskeratotic__008,data\raw\sipakmed\im_Dyskeratotic\CROPPED\008_07.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\008_07_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\008_07_cyt.dat,TRUE,,144,124,Dyskeratotic,RGB,uint8,10,25,1149,9439,8290,156,0,TRUE,TRUE
Dyskeratotic__009_01,Dyskeratotic__009,data\raw\sipakmed\im_Dyskeratotic\CROPPED\009_01.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\009_01_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\009_01_cyt.dat,TRUE,,130,78,Dyskeratotic,RGB,uint8,13,17,1580,4610,3030,198,0,TRUE,TRUE
Dyskeratotic__009_02,Dyskeratotic__009,data\raw\sipakmed\im_Dyskeratotic\CROPPED\009_02.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\009_02_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\009_02_cyt.dat,TRUE,,99,100,Dyskeratotic,RGB,uint8,14,19,1395,4597,3202,196,0,TRUE,TRUE
Dyskeratotic__009_03,Dyskeratotic__009,data\raw\sipakmed\im_Dyskeratotic\CROPPED\009_03.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\009_03_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\009_03_cyt.dat,TRUE,,90,86,Dyskeratotic,RGB,uint8,9,14,665,3259,2594,128,0,TRUE,TRUE
Dyskeratotic__009_04,Dyskeratotic__009,data\raw\sipakmed\im_Dyskeratotic\CROPPED\009_04.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\009_04_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\009_04_cyt.dat,TRUE,,157,95,Dyskeratotic,RGB,uint8,13,21,901,7691,6790,150,0,TRUE,TRUE
Dyskeratotic__009_05,Dyskeratotic__009,data\raw\sipakmed\im_Dyskeratotic\CROPPED\009_05.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\009_05_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\009_05_cyt.dat,TRUE,,88,80,Dyskeratotic,RGB,uint8,12,14,1065,3157,2092,162,0,TRUE,TRUE
Dyskeratotic__009_06,Dyskeratotic__009,data\raw\sipakmed\im_Dyskeratotic\CROPPED\009_06.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\009_06_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\009_06_cyt.dat,TRUE,,96,98,Dyskeratotic,RGB,uint8,14,16,1503,4070,2567,188,0,TRUE,TRUE
Dyskeratotic__009_07,Dyskeratotic__009,data\raw\sipakmed\im_Dyskeratotic\CROPPED\009_07.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\009_07_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\009_07_cyt.dat,TRUE,,77,75,Dyskeratotic,RGB,uint8,14,18,735,2308,1573,138,0,TRUE,TRUE
Dyskeratotic__009_08,Dyskeratotic__009,data\raw\sipakmed\im_Dyskeratotic\CROPPED\009_08.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\009_08_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\009_08_cyt.dat,TRUE,,143,96,Dyskeratotic,RGB,uint8,12,19,1617,6403,4786,180,0,TRUE,TRUE
Dyskeratotic__009_09,Dyskeratotic__009,data\raw\sipakmed\im_Dyskeratotic\CROPPED\009_09.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\009_09_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\009_09_cyt.dat,TRUE,,133,115,Dyskeratotic,RGB,uint8,11,24,723,6129,5406,130,0,TRUE,TRUE
Dyskeratotic__010_01,Dyskeratotic__010,data\raw\sipakmed\im_Dyskeratotic\CROPPED\010_01.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\010_01_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\010_01_cyt.dat,TRUE,,133,94,Dyskeratotic,RGB,uint8,11,18,1626,6529,4903,184,0,TRUE,TRUE
Dyskeratotic__010_02,Dyskeratotic__010,data\raw\sipakmed\im_Dyskeratotic\CROPPED\010_02.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\010_02_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\010_02_cyt.dat,TRUE,,124,83,Dyskeratotic,RGB,uint8,10,19,774,4944,4170,130,0,TRUE,TRUE
Dyskeratotic__010_03,Dyskeratotic__010,data\raw\sipakmed\im_Dyskeratotic\CROPPED\010_03.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\010_03_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\010_03_cyt.dat,TRUE,,107,110,Dyskeratotic,RGB,uint8,11,19,1318,5964,4646,164,0,TRUE,TRUE
Dyskeratotic__010_04,Dyskeratotic__010,data\raw\sipakmed\im_Dyskeratotic\CROPPED\010_04.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\010_04_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\010_04_cyt.dat,TRUE,,163,124,Dyskeratotic,RGB,uint8,12,29,2673,9900,7227,244,0,TRUE,TRUE
Dyskeratotic__010_05,Dyskeratotic__010,data\raw\sipakmed\im_Dyskeratotic\CROPPED\010_05.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\010_05_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\010_05_cyt.dat,TRUE,,116,93,Dyskeratotic,RGB,uint8,11,17,1019,5335,4316,152,0,TRUE,TRUE
Dyskeratotic__010_06,Dyskeratotic__010,data\raw\sipakmed\im_Dyskeratotic\CROPPED\010_06.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\010_06_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\010_06_cyt.dat,TRUE,,87,93,Dyskeratotic,RGB,uint8,10,13,696,3392,2696,124,0,TRUE,TRUE
Dyskeratotic__010_07,Dyskeratotic__010,data\raw\sipakmed\im_Dyskeratotic\CROPPED\010_07.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\010_07_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\010_07_cyt.dat,TRUE,,82,66,Dyskeratotic,RGB,uint8,12,11,588,2336,1748,120,0,TRUE,TRUE
Dyskeratotic__011_01,Dyskeratotic__011,data\raw\sipakmed\im_Dyskeratotic\CROPPED\011_01.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\011_01_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\011_01_cyt.dat,TRUE,,106,108,Dyskeratotic,RGB,uint8,11,20,1361,5758,4397,168,0,TRUE,TRUE
